AnimalID,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
A682413,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue/White
A702655,Transfer,Partner,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White
A707503,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A697199,Adoption,,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Blue Tabby
A705598,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby
A668388,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby
A671181,Transfer,SCRP,Cat,Intact Male,4 years,Domestic Longhair Mix,Black/White
A676766,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black/White
A686716,Return_to_owner,,Dog,Neutered Male,12 years,Beagle,Tricolor
A684475,Return_to_owner,,Cat,Spayed Female,9 years,Domestic Shorthair Mix,White/Black
A701804,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black
A697852,Adoption,,Dog,Spayed Female,5 months,German Shepherd Mix,Black/Brown
A666092,Euthanasia,Aggressive,Dog,Intact Male,6 years,Pit Bull/Labrador Retriever,Chocolate/White
A684050,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie
A710107,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
A682347,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue Tabby/White
A701627,Adoption,,Dog,Neutered Male,2 years,Blue Lacy Mix,Gray/White
A690902,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby/White
A712979,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Black
A707687,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
A683443,Transfer,Partner,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Tan
A597644,Return_to_owner,,Dog,Spayed Female,4 years,Black Mouth Cur Mix,Tan/Black
A682784,Adoption,,Dog,Neutered Male,2 years,Dachshund/Beagle,Brown/White
A709863,Transfer,Partner,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby/White
A678506,Euthanasia,Suffering,Dog,Spayed Female,11 years,Yorkshire Terrier Mix,Brown/Black
A713029,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black
A712236,Adoption,,Dog,Spayed Female,2 years,Dachshund Mix,Tan/White
A683961,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black
A714740,Return_to_owner,,Dog,Spayed Female,6 years,Maltese Mix,White
A691847,Transfer,Partner,Dog,Neutered Male,6 months,Pointer Mix,Black/White
A711392,Transfer,Partner,Dog,Intact Female,2 months,English Foxhound,Buff
A705258,Transfer,SCRP,Cat,Unknown,2 months,Domestic Shorthair Mix,Brown Tabby/White
A678172,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Red
A676736,Adoption,,Dog,Neutered Male,2 months,Vizsla Mix,Brown
A701575,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White
A674913,Adoption,,Dog,Spayed Female,3 years,German Shepherd/Great Pyrenees,White
A706446,Return_to_owner,,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black
A669540,Return_to_owner,,Dog,Spayed Female,4 years,Yorkshire Terrier Mix,Blue/Tan
A709371,Transfer,Partner,Dog,Spayed Female,2 years,Cardigan Welsh Corgi/Chihuahua Shorthair,Tan
A681410,Adoption,,Cat,Spayed Female,3 months,Domestic Longhair,Brown Tabby
A675021,Euthanasia,Suffering,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
A704179,Adoption,,Dog,Neutered Male,2 months,Chow Chow/Pit Bull,Black
A717839,Transfer,SCRP,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black/White
A700740,Adoption,Foster,Dog,Neutered Male,1 year,Chihuahua Shorthair,White
A712376,Euthanasia,Suffering,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Blue Tabby
A703952,Transfer,Partner,Cat,Unknown,4 weeks,Siamese Mix,Seal Point
A713690,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Blue Tabby
A691838,Euthanasia,Suffering,Dog,Neutered Male,12 years,Pit Bull Mix,Brown Brindle
A687789,Adoption,,Dog,Neutered Male,1 year,Dachshund/Beagle,Brown/White
A704754,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A707531,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black
A677594,Transfer,Partner,Dog,Intact Female,3 months,Labrador Retriever Mix,Black/White
A667155,Adoption,,Cat,Spayed Female,3 months,Domestic Medium Hair Mix,Calico
A717147,Adoption,,Dog,Neutered Male,5 months,Plott Hound Mix,Brown Brindle/White
A687012,Adoption,,Dog,Spayed Female,3 years,Boxer/Great Dane,Black
A676200,Transfer,Partner,Dog,Spayed Female,7 years,Lhasa Apso,White/Black
A676680,Euthanasia,Aggressive,Dog,Spayed Female,2 years,German Shepherd Mix,Black/Tan
A688443,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black
A715261,Adoption,,Dog,Spayed Female,9 years,Beagle/Treeing Walker Coonhound,White/Brown
A717008,Transfer,Partner,Dog,Neutered Male,7 months,Border Collie Mix,Black/White
A683416,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
A690658,Transfer,SCRP,Cat,Intact Male,3 years,Domestic Shorthair Mix,Black/White
A695155,Adoption,,Dog,Neutered Male,3 years,Border Terrier Mix,Gray
A679721,Adoption,,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Tan/White
A719113,Transfer,Partner,Dog,Neutered Male,5 years,Boxer Mix,Brown Brindle/White
A665298,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Medium Hair Mix,Blue
A708351,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black
A670681,Transfer,Partner,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Torbie
A699990,Return_to_owner,,Dog,Neutered Male,4 years,Cairn Terrier Mix,Tan/White
A707767,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A668362,Return_to_owner,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan
A674577,Adoption,,Dog,Neutered Male,2 years,Dogo Argentino Mix,White
A674802,Return_to_owner,,Dog,Neutered Male,9 years,Dachshund Mix,Black/Brown
A672410,Return_to_owner,,Dog,Neutered Male,5 years,Beagle Mix,Tricolor
A657753,Euthanasia,Aggressive,Dog,Neutered Male,1 year,Chihuahua Shorthair/Dachshund,Yellow Brindle/White
A663339,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Fawn/White
A678229,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A698694,Transfer,Partner,Dog,Intact Male,5 months,Pit Bull Mix,White/Brown
A695971,Euthanasia,Suffering,Cat,Intact Male,6 years,Domestic Shorthair Mix,Orange Tabby
A674233,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan
A713392,Transfer,Partner,Dog,Intact Male,3 months,Chihuahua Shorthair Mix,Black/White
A713968,Transfer,Partner,Cat,Intact Female,1 month,Domestic Longhair Mix,Calico
A701428,Return_to_owner,,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Brown
A676146,Return_to_owner,,Dog,Neutered Male,5 years,Dachshund Mix,Black
A679259,Adoption,,Dog,Neutered Male,8 years,Miniature Schnauzer/Miniature Poodle,Black
A688223,Adoption,Offsite,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/White
A691968,Euthanasia,Suffering,Cat,Intact Female,7 years,Domestic Shorthair Mix,Tortie
A688871,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black
A674530,Adoption,,Dog,Neutered Male,5 years,Pit Bull,Black
A718604,Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,White/Brown
A686520,Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby
A699094,Return_to_owner,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/White
A394547,Return_to_owner,,Dog,Spayed Female,9 years,Labrador Retriever Mix,Chocolate/White
A662685,Adoption,,Dog,Spayed Female,3 years,Pit Bull Mix,Red/White
A713977,Return_to_owner,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico
A707781,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair/Jack Russell Terrier,Black/White
A694699,Transfer,Partner,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan
A696350,Return_to_owner,,Dog,Spayed Female,1 year,Pit Bull,Brown Brindle
A679102,Transfer,Partner,Cat,Neutered Male,2 years,Siamese Mix,Flame Point
A698341,Return_to_owner,,Dog,Spayed Female,2 years,Tibetan Terrier Mix,Brown
A681481,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Blue/White
A714177,Transfer,SCRP,Cat,Unknown,3 months,Domestic Shorthair Mix,Tortie
A689601,Adoption,Foster,Dog,Spayed Female,1 month,Miniature Pinscher/Chihuahua Shorthair,Tricolor
A685062,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A672453,Adoption,Offsite,Cat,Neutered Male,10 months,Domestic Medium Hair Mix,Cream Tabby
A719480,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Medium Hair Mix,Brown Tabby/White
A702880,Adoption,,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Calico
A714494,Adoption,,Dog,Neutered Male,6 months,Labrador Retriever Mix,Yellow
A711853,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A688720,Adoption,,Dog,Spayed Female,1 year,Dachshund Mix,Tan
A689690,Transfer,Partner,Dog,Intact Female,6 months,Dachshund Mix,Brown/White
A679915,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White
A687991,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Calico
A707896,Adoption,Foster,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby
A702014,Adoption,,Dog,Spayed Female,11 months,Blue Lacy Mix,Blue/White
A673626,Transfer,Partner,Dog,Neutered Male,3 months,Rat Terrier Mix,Tricolor
A652097,Return_to_owner,,Dog,Spayed Female,2 years,Dachshund Longhair,Brown
A685180,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Red
A707442,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Brown/White
A682599,Adoption,,Cat,Spayed Female,4 months,Domestic Longhair,Calico
A685452,Transfer,Partner,Dog,Intact Female,4 months,Dachshund/Chihuahua Shorthair,Red
A688067,Transfer,SCRP,Cat,Intact Female,5 months,Domestic Shorthair Mix,Torbie
A714069,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black Tabby/White
A705924,Transfer,Partner,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,Brown/White
A717167,Adoption,Foster,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Black/White
A711639,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie/Calico
A716760,Adoption,,Dog,Neutered Male,6 months,Border Collie Mix,Black/White
A709048,Adoption,,Dog,Intact Female,5 months,Labrador Retriever Mix,Black/White
A719048,Return_to_owner,,Dog,Spayed Female,8 years,Maltese,White
A707437,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A706387,Adoption,,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Blue Tabby/White
A720668,Return_to_owner,,Dog,Spayed Female,5 months,Labrador Retriever Mix,White
A679341,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby
A690519,Transfer,SCRP,Cat,Intact Male,4 months,Domestic Shorthair Mix,Blue Tabby
A708769,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Tan
A681462,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever/Rottweiler,Black/Brown
A666444,Transfer,Partner,Cat,Spayed Female,11 years,Domestic Shorthair Mix,Tortie
A701153,Adoption,Foster,Dog,Neutered Male,2 months,Dachshund/Manchester Terrier,Tricolor
A710071,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Black
A714602,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby
A700707,Adoption,,Dog,Spayed Female,1 month,Plott Hound/Labrador Retriever,Black/Brown Brindle
A702563,Return_to_owner,,Dog,Spayed Female,7 years,Chihuahua Shorthair/Rat Terrier,White/Tan
A679441,Transfer,Partner,Cat,Intact Male,4 days,Domestic Shorthair Mix,Cream Tabby/White
A715729,Return_to_owner,,Dog,Neutered Male,4 years,Siberian Husky,White/Gray
A716575,Transfer,Partner,Dog,Spayed Female,2 years,Australian Cattle Dog Mix,Tan/White
A714462,Return_to_owner,,Dog,Spayed Female,1 year,Pointer Mix,White/Black
A717429,Return_to_owner,,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White
A687336,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Medium Hair Mix,Brown Tabby
A713364,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White
A701999,Adoption,,Dog,Spayed Female,2 years,Yorkshire Terrier/Miniature Poodle,Tan/Silver
A664304,Transfer,SCRP,Cat,Intact Male,10 months,Domestic Shorthair Mix,Orange Tabby
A698066,Transfer,Partner,Dog,Spayed Female,4 years,German Shepherd Mix,White
A680585,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby/White
A699715,Transfer,Partner,Dog,Spayed Female,6 years,Catahoula/Labrador Retriever,White/Tan
A702246,Adoption,,Dog,Spayed Female,9 months,Miniature Poodle Mix,Black/White
A711918,Adoption,,Dog,Spayed Female,3 years,Jack Russell Terrier/Pit Bull,Red
A676430,Adoption,,Cat,Spayed Female,8 months,Domestic Shorthair Mix,Torbie
A677577,Adoption,,Dog,Spayed Female,10 months,Queensland Heeler/Shetland Sheepdog,Red Tick/Black
A683666,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,White/Cream Tabby
A713754,Adoption,,Dog,Neutered Male,1 year,Catahoula Mix,Blue Merle
A703631,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White
A676209,Adoption,Foster,Dog,Neutered Male,3 months,Labrador Retriever Mix,Yellow
A667508,Return_to_owner,,Dog,Intact Male,6 years,Chihuahua Shorthair Mix,Chocolate/Tan
A671105,Transfer,SCRP,Cat,Unknown,1 year,Domestic Longhair Mix,Black
A676056,Return_to_owner,,Dog,Neutered Male,2 years,American Pit Bull Terrier Mix,Tan/White
A667963,Adoption,,Dog,Spayed Female,5 years,Dachshund Longhair Mix,Tan/White
A702207,Euthanasia,Suffering,Cat,Neutered Male,12 years,Domestic Longhair Mix,Orange Tabby/White
A672065,Adoption,,Dog,Spayed Female,2 years,German Shepherd Mix,Sable
A688852,Adoption,,Dog,Neutered Male,6 years,Labrador Retriever Mix,Black/White
A705885,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
A670949,Return_to_owner,,Dog,Spayed Female,8 months,Doberman Pinsch Mix,Tricolor
A665666,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black
A714575,Transfer,Partner,Cat,Intact Female,15 years,Domestic Shorthair Mix,Black
A690480,Transfer,Partner,Dog,Intact Female,3 weeks,Pointer Mix,Chocolate/White
A691636,Adoption,,Dog,Neutered Male,5 months,Dachshund/Jack Russell Terrier,White/Brown
A678482,Adoption,,Dog,Neutered Male,2 years,Miniature Poodle/Miniature Schnauzer,Black/White
A687785,Adoption,Foster,Dog,Spayed Female,2 years,Whippet Mix,Brown Brindle/White
A716839,Return_to_owner,,Dog,Intact Male,2 years,Australian Shepherd Mix,Brown Merle/White
A718547,Adoption,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Tan/White
A687989,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Calico
A694408,Transfer,Partner,Dog,Spayed Female,1 year,Pit Bull Mix,Brown Tiger/White
A698940,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby/White
A666074,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby
A675549,Transfer,Partner,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,White/Brown
A682131,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A674737,Adoption,Foster,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black
A719876,Transfer,Partner,Dog,Spayed Female,1 year,Rat Terrier Mix,White/Black
A676626,Adoption,Foster,Dog,Spayed Female,2 months,English Pointer Mix,Brown/White
A666478,Adoption,,Dog,Spayed Female,1 year,Miniature Schnauzer/Yorkshire Terrier,Black/White
A683507,Adoption,,Dog,Spayed Female,3 years,Cairn Terrier Mix,Buff
A487470,Euthanasia,Aggressive,Dog,Neutered Male,9 years,Labrador Retriever/Pit Bull,Black
A665661,Return_to_owner,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,White/Black
A668260,Transfer,Partner,Dog,Spayed Female,5 years,Great Dane,Black/White
A716964,Return_to_owner,,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,Black/White
A701029,Return_to_owner,,Dog,Neutered Male,2 years,Chesa Bay Retr,Brown
A668506,Return_to_owner,,Dog,Neutered Male,7 years,German Shepherd,Brown/Black
A684709,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby/White
A616229,Adoption,,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Black/White
A680336,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A701898,Return_to_owner,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan/Black
A666971,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A691605,Return_to_owner,,Dog,Spayed Female,6 years,Plott Hound Mix,Brown Brindle
A703244,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
A705111,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Brown/Black
A685460,Adoption,,Cat,Neutered Male,7 years,Siamese Mix,Flame Point
A716890,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby/White
A715741,Adoption,,Dog,Neutered Male,3 years,Chow Chow Mix,Red
A676334,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black
A668122,Adoption,,Dog,Spayed Female,7 years,English Pointer,Liver/White
A702356,Euthanasia,Suffering,Cat,Intact Male,1 month,Domestic Shorthair Mix,White/Blue Tabby
A664842,Return_to_owner,,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White
A709067,Return_to_owner,,Dog,Intact Female,5 months,Boxer Mix,Black/White
A608918,Transfer,Partner,Dog,Neutered Male,4 years,Basset Hound/Labrador Retriever,Black/White
A651596,Return_to_owner,,Dog,Neutered Male,2 years,Labrador Retriever Mix,Buff
A720190,Transfer,Partner,Dog,Spayed Female,7 years,Airedale Terrier Mix,Tricolor
A676609,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever/Chow Chow,Brown
A666504,Transfer,Partner,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Orange Tabby/White
A693272,Adoption,,Dog,Neutered Male,1 month,Beagle/German Shepherd,Black/Brown
A711607,Adoption,,Cat,Neutered Male,2 months,Manx Mix,White/Black
A713337,Transfer,SCRP,Cat,Intact Female,3 years,Domestic Shorthair Mix,Blue
A672758,Transfer,Partner,Dog,Spayed Female,4 years,Chihuahua Shorthair/Rat Terrier,Tan/White
A658690,Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,Black/White
A708390,Adoption,,Dog,Spayed Female,2 years,Flat Coat Retriever Mix,Black/White
A703383,Transfer,Partner,Dog,Spayed Female,10 years,Cocker Spaniel,Buff
A689749,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A699816,Adoption,,Dog,Spayed Female,10 years,Chihuahua Shorthair Mix,Tan
A701791,Adoption,Foster,Cat,Spayed Female,2 years,Domestic Longhair Mix,Brown Tabby/White
A625690,Return_to_owner,,Dog,Spayed Female,7 years,Rat Terrier Mix,White/Black
A686406,Adoption,,Dog,Neutered Male,1 year,Border Terrier/Chihuahua Shorthair,Tan/Black
A710318,Transfer,Partner,Dog,Neutered Male,5 years,Pit Bull Mix,Brown Brindle/White
A698972,Return_to_owner,,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Black/Gray
A710380,Transfer,Partner,Cat,Unknown,1 week,Domestic Shorthair Mix,Brown Tabby
A683309,Euthanasia,Behavior,Dog,Spayed Female,7 years,Pit Bull Mix,Tan/White
A640316,Adoption,,Dog,Neutered Male,1 year,Chihuahua Longhair Mix,Black
A682760,Adoption,,Dog,Neutered Male,1 year,Jack Russell Terrier/Dachshund,White/Brown
A701707,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Orange Tabby
A669534,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Orange Tabby
A588218,Return_to_owner,,Dog,Neutered Male,5 years,German Shepherd,Black/Brown
A669795,Return_to_owner,,Dog,Spayed Female,2 years,Rottweiler Mix,Black/Tan
A674448,Adoption,,Dog,Neutered Male,10 months,Siberian Husky Mix,White/Cream
A701647,Transfer,Partner,Cat,Intact Female,3 months,Domestic Shorthair Mix,Black
A672467,Adoption,,Dog,Neutered Male,9 months,Cardigan Welsh Corgi/Cardigan Welsh Corgi,Fawn/White
A712244,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black/White
A677462,Transfer,Partner,Cat,Unknown,0 years,Domestic Shorthair Mix,Blue
A715761,Transfer,SCRP,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Calico
A720860,Adoption,,Dog,Spayed Female,8 months,Chihuahua Shorthair Mix,Chocolate/White
A701337,Transfer,Partner,Dog,Intact Male,1 year,Cairn Terrier Mix,Cream
A710881,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby
A663948,Return_to_owner,,Cat,Neutered Male,3 months,Domestic Shorthair,Black/White
A699819,Return_to_owner,,Dog,Intact Male,14 years,Chihuahua Shorthair Mix,Chocolate/White
A674638,Return_to_owner,,Dog,Neutered Male,7 years,Labrador Retriever Mix,Chocolate
A718743,Adoption,,Dog,Neutered Male,2 years,Shih Tzu,Gray/White
A714820,Transfer,Partner,Dog,Spayed Female,6 months,Plott Hound Mix,Brown Brindle
A667613,Adoption,,Dog,Neutered Male,11 months,Australian Shepherd Mix,Tan/White
A696059,Adoption,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Tan/White
A690806,Transfer,Partner,Cat,Intact Female,2 months,Domestic Longhair Mix,Black/White
A676494,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever/Border Collie,Black/White
A689138,Euthanasia,Suffering,Cat,Intact Female,4 weeks,Siamese Mix,Blue Point
A599155,Euthanasia,Suffering,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,White/Brown
A665587,Adoption,,Cat,Neutered Male,8 years,Domestic Medium Hair Mix,Orange Tabby
A663555,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Calico
A691345,Adoption,,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,Brown/White
A685242,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Tortie
A674659,Euthanasia,Aggressive,Dog,Intact Male,2 years,Labrador Retriever/Great Dane,Tan/Black
A683609,Return_to_owner,,Dog,Neutered Male,6 years,Dachshund Mix,Brown
A695710,Transfer,Partner,Dog,Spayed Female,11 months,Boxer Mix,Brown Brindle/White
